Title,max_players,publishers,review_score,total_sales,used_price,release_console,esrb_rating,year,avg_all_playtime,max_all_playtime,med_all_playtime,total_all_playtime,min_all_playtime,avg_complete,max_complete,med_complete,total_complete,min_complete,avg_x_complete,max_x_complete,med_x_complete,total_x_complete,min_x_complete,avg_story_complete,max_story_complete,med_story_complete,total_story_complete,min_story_complete,genre_action,genre_strategy,genre_racing_driving,genre_sports,genre_simulation,genre_adventure,genre_rpg,genre_educational,pub_Nintendo,pub_Ubisoft,pub_Sony,pub_Activision,pub_EA,pub_namco,pub_konami,pub_koei,pub_sega,pub_capcom,pub_rockstar,pub_THQ,pub_2K,pub_D3,pub_vivendi,pub_majesco,pub_microsoft,pub_SquareEnix,pub_505,pub_Atari,pub_Spike,pub_RisingStar,pub_Midway,pub_Eidos,pub_WarnerBros,pub_Atlus,pub_Codemasters,pub_Disney,pub_count,pub_other
Eternal Sonata,2,Namco,80,0.14,24.95,PlayStation 3,M,2008,38.15,117.95,33.7,132,23.95,70.6666666666667,132.85,60.7666666666667,14,48.85,41.3,67.6833333333333,39.45,50,31.6833333333333,29.1333333333333,43.1666666666667,30,68,20.7833333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
Viva Pi$?ata: Trouble in Paradise,2,Microsoft,82,0.14,17.95,X360,T,2008,31.8833333333333,48.1833333333333,20.8666666666667,4,21.0833333333333,18.7666666666667,20.25,18.7666666666667,2,17.2833333333333,20,20,20,1,20,70,70,70,1,70,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
FlatOut: Head On,1,Empire Interactive,74,0.14,9.95,Sony PSP,E,2008,21.8,32,23,21,16.45,40.8,41.2166666666667,40.8,2,40.4,20.9833333333333,26.2333333333333,24,13,16.8333333333333,17.25,21.9333333333333,14.5,6,13.1833333333333,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
Viking: Battle for Asgard,1,Sega,65,0.14,16.95,PlayStation 3,M,2008,17.5,24.3666666666667,16,52,12.1,22.5166666666667,27.1166666666667,22,15,16.45,17.3166666666667,21.9333333333333,16.4333333333333,21,13.9333333333333,13.0333333333333,18.75,12,16,9.98333333333333,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
Neopets Puzzle Adventure,1,Capcom,52,0.14,14.95,Nintendo Wii,E,2008,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,3,3,3,1,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
TNA iMPACT!,1,Midway,43,0.14,14.95,Nintendo Wii,E,2008,15.883333333333301,28.6166666666667,8.25,8,9.03333333333333,45.1666666666667,45.1666666666667,45.1666666666667,1,45.1666666666667,32.9333333333333,32.9333333333333,32.9333333333333,1,32.9333333333333,8.16666666666667,9.55,8.05,6,7.05,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
Tomb Raider: Underworld,1,Eidos,70,0.14,17.95,Nintendo Wii,T,2008,11.5166666666667,17.8833333333333,10.0333333333333,143,7.83333333333333,18.8833333333333,21.9666666666667,19,13,14.4666666666667,12.1166666666667,16.0166666666667,12,37,9.73333333333333,10.25,15.55,10,93,7.51666666666667,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE
The Club,4,Sega,76,0.13,14.95,X360,T,2008,6.13333333333333,12.7166666666667,4.75,16,4.13333333333333,20,20,20,1,20,7.66666666666667,9.41666666666667,8,3,5.91666666666667,4.58333333333333,5.76666666666667,4.5,12,3.68333333333333,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
The Chronicles of Narnia: Prince Caspian,2,Disney,56,0.13,14.95,X360,M,2008,12.8166666666667,15.1166666666667,11.65,4,11.1166666666667,11.65,11.8166666666667,11.65,2,11.4833333333333,0,0,0,0,0,14,16,14,2,12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
Cabela's Dangerous Hunts 2009,1,Activision,42,0.13,19.95,X360,M,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
